shape,domain,timestamp_epoch_s,relative_to_measure_start_s,power_W,inside_measurement_window
1x2048x2048,DRAM,1784548015.599113,28.129486,0.000000,1
1x2048x2048,DRAM,1784548016.612897,29.143270,0.000000,1
1x4096x4096,PKG,1784548020.183081,-4.135742,68.855295,0
1x4096x4096,PKG,1784548021.190820,-3.128003,74.273638,0
1x4096x4096,PKG,1784548022.195208,-2.123615,65.793344,0
1x4096x4096,PKG,1784548023.206028,-1.112795,73.541710,0
1x4096x4096,PKG,1784548024.219090,-0.099734,70.928279,0
1x4096x4096,PKG,1784548025.233173,0.914350,71.728544,1
1x4096x4096,PKG,1784548026.248847,1.930024,70.989088,1
1x4096x4096,PKG,1784548027.261341,2.942518,70.901170,1
1x4096x4096,PKG,1784548028.264199,3.945375,67.766873,1
1x4096x4096,PKG,1784548029.278685,4.959862,70.679914,1
1x4096x4096,PKG,1784548030.285001,5.966178,75.601329,1
1x4096x4096,PKG,1784548031.291885,6.973062,72.380185,1
1x4096x4096,PKG,1784548032.306640,7.987816,71.773874,1
1x4096x4096,PKG,1784548033.320651,9.001828,69.293064,1
1x4096x4096,PKG,1784548034.326455,10.007632,69.491357,1
1x4096x4096,PKG,1784548035.338537,11.019713,73.588041,1
1x4096x4096,PKG,1784548036.347438,12.028615,73.779275,1
1x4096x4096,PKG,1784548037.348279,13.029456,75.523469,1
1x4096x4096,PKG,1784548038.350017,14.031194,72.104308,1
1x4096x4096,PKG,1784548039.361796,15.042972,72.378264,1
1x4096x4096,PKG,1784548040.365246,16.046423,70.452249,1
1x4096x4096,PKG,1784548041.368589,17.049765,70.821336,1
1x4096x4096,PKG,1784548042.369794,18.050971,72.519077,1
1x4096x4096,PKG,1784548043.383647,19.064824,74.718939,1
1x4096x4096,PKG,1784548044.387024,20.068201,73.005706,1
1x4096x4096,PKG,1784548045.391445,21.072621,71.712767,1
1x4096x4096,PKG,1784548046.407742,22.088919,65.820248,1
1x4096x4096,PKG,1784548047.409308,23.090484,74.964201,1
1x4096x4096,PKG,1784548048.413808,24.094985,69.220944,1
1x4096x4096,PKG,1784548049.421972,25.103149,72.541592,1
1x4096x4096,PKG,1784548050.431284,26.112461,69.714179,1
1x4096x4096,PKG,1784548051.442463,27.123640,76.659122,1
1x4096x4096,PKG,1784548052.444209,28.125386,73.185175,1
1x4096x4096,PKG,1784548053.458302,29.139479,69.145577,1
1x4096x4096,PP0,1784548020.183081,-4.135742,58.947867,0
1x4096x4096,PP0,1784548021.190820,-3.128003,63.695894,0
1x4096x4096,PP0,1784548022.195208,-2.123615,55.288472,0
1x4096x4096,PP0,1784548023.206028,-1.112795,62.741515,0
1x4096x4096,PP0,1784548024.219090,-0.099734,60.179035,0
1x4096x4096,PP0,1784548025.233173,0.914350,60.986770,1
1x4096x4096,PP0,1784548026.248847,1.930024,60.253653,1
1x4096x4096,PP0,1784548027.261341,2.942518,60.166660,1
1x4096x4096,PP0,1784548028.264199,3.945375,57.073940,1
1x4096x4096,PP0,1784548029.278685,4.959862,59.993364,1
1x4096x4096,PP0,1784548030.285001,5.966178,64.951630,1
1x4096x4096,PP0,1784548031.291885,6.973062,61.768066,1
1x4096x4096,PP0,1784548032.306640,7.987816,61.131498,1
1x4096x4096,PP0,1784548033.320651,9.001828,58.549382,1
1x4096x4096,PP0,1784548034.326455,10.007632,58.537371,1
1x4096x4096,PP0,1784548035.338537,11.019713,62.744188,1
1x4096x4096,PP0,1784548036.347438,12.028615,62.985801,1
1x4096x4096,PP0,1784548037.348279,13.029456,64.795603,1
1x4096x4096,PP0,1784548038.350017,14.031194,61.352570,1
1x4096x4096,PP0,1784548039.361796,15.042972,61.823617,1
1x4096x4096,PP0,1784548040.365246,16.046423,60.685731,1
1x4096x4096,PP0,1784548041.368589,17.049765,59.127553,1
1x4096x4096,PP0,1784548042.369794,18.050971,61.743153,1
1x4096x4096,PP0,1784548043.383647,19.064824,64.218000,1
1x4096x4096,PP0,1784548044.387024,20.068201,62.006205,1
1x4096x4096,PP0,1784548045.391445,21.072621,60.834545,1
1x4096x4096,PP0,1784548046.407742,22.088919,55.074450,1
1x4096x4096,PP0,1784548047.409308,23.090484,64.085377,1
1x4096x4096,PP0,1784548048.413808,24.094985,58.282593,1
1x4096x4096,PP0,1784548049.421972,25.103149,61.842005,1
1x4096x4096,PP0,1784548050.431284,26.112461,59.087422,1
1x4096x4096,PP0,1784548051.442463,27.123640,65.921697,1
1x4096x4096,PP0,1784548052.444209,28.125386,62.775993,1
1x4096x4096,PP0,1784548053.458302,29.139479,57.994824,1
1x4096x4096,DRAM,1784548020.183081,-4.135742,0.000000,0
1x4096x4096,DRAM,1784548021.190820,-3.128003,0.000000,0
1x4096x4096,DRAM,1784548022.195208,-2.123615,0.000000,0
1x4096x4096,DRAM,1784548023.206028,-1.112795,0.000000,0
1x4096x4096,DRAM,1784548024.219090,-0.099734,0.000000,0
1x4096x4096,DRAM,1784548025.233173,0.914350,0.000000,1
1x4096x4096,DRAM,1784548026.248847,1.930024,0.000000,1
1x4096x4096,DRAM,1784548027.261341,2.942518,0.000000,1
1x4096x4096,DRAM,1784548028.264199,3.945375,0.000000,1
1x4096x4096,DRAM,1784548029.278685,4.959862,0.000000,1
1x4096x4096,DRAM,1784548030.285001,5.966178,0.000000,1
1x4096x4096,DRAM,1784548031.291885,6.973062,0.000000,1
1x4096x4096,DRAM,1784548032.306640,7.987816,0.000000,1
1x4096x4096,DRAM,1784548033.320651,9.001828,0.000000,1
1x4096x4096,DRAM,1784548034.326455,10.007632,0.000000,1
1x4096x4096,DRAM,1784548035.338537,11.019713,0.000000,1
1x4096x4096,DRAM,1784548036.347438,12.028615,0.000000,1
1x4096x4096,DRAM,1784548037.348279,13.029456,0.000000,1
1x4096x4096,DRAM,1784548038.350017,14.031194,0.000000,1
1x4096x4096,DRAM,1784548039.361796,15.042972,0.000000,1
1x4096x4096,DRAM,1784548040.365246,16.046423,0.000000,1
1x4096x4096,DRAM,1784548041.368589,17.049765,0.000000,1
1x4096x4096,DRAM,1784548042.369794,18.050971,0.000000,1
1x4096x4096,DRAM,1784548043.383647,19.064824,0.000000,1
1x4096x4096,DRAM,1784548044.387024,20.068201,0.000000,1
1x4096x4096,DRAM,1784548045.391445,21.072621,0.000000,1
1x4096x4096,DRAM,1784548046.407742,22.088919,0.000000,1
1x4096x4096,DRAM,1784548047.409308,23.090484,0.000000,1
1x4096x4096,DRAM,1784548048.413808,24.094985,0.000000,1
1x4096x4096,DRAM,1784548049.421972,25.103149,0.000000,1
1x4096x4096,DRAM,1784548050.431284,26.112461,0.000000,1
1x4096x4096,DRAM,1784548051.442463,27.123640,0.000000,1
1x4096x4096,DRAM,1784548052.444209,28.125386,0.000000,1
1x4096x4096,DRAM,1784548053.458302,29.139479,0.000000,1
