depth,nx,ny,T,decode_T,pointwise_limit,x_pos,y_pos,product_offsets,cost,cost_per_mult,cost_per_decode_mult,max_adjacent_overlap,total_overlap,pointwise_overlap,is_prefill_pareto,is_decode_pareto,source
3,2,2,4,2,2,0 10,0 23,0 10 23 33,-15,-3.750000,-7.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 22,0 10 22 32,-14,-3.500000,-7.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 21,0 10 21 31,-13,-3.250000,-6.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 20,0 10 20 30,-12,-3.000000,-6.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 19,0 10 19 29,-11,-2.750000,-5.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 18,0 10 18 28,-10,-2.500000,-5.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 17,0 10 17 27,-9,-2.250000,-4.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 16,0 10 16 26,-8,-2.000000,-4.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 10,0 15,0 10 15 25,-7,-1.750000,-3.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 10,0 14,0 10 14 24,-6,-1.500000,-3.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 10,0 13,0 10 13 23,-5,-1.250000,-2.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 10,0 7,0 7 10 17,1,0.250000,0.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 10,0 6,0 6 10 16,2,0.500000,1.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 10,0 5,0 5 10 15,3,0.750000,1.500000,1,3,2,0,0,solver
3,2,2,4,2,2,0 10,0 4,0 4 10 14,4,1.000000,2.000000,2,4,2,0,0,solver
3,2,2,4,2,2,0 10,0 3,0 3 10 13,5,1.250000,2.500000,3,6,2,0,0,solver
3,2,2,4,2,2,0 9,0 23,0 9 23 32,-14,-3.500000,-7.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 22,0 9 22 31,-13,-3.250000,-6.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 21,0 9 21 30,-12,-3.000000,-6.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 20,0 9 20 29,-11,-2.750000,-5.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 19,0 9 19 28,-10,-2.500000,-5.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 18,0 9 18 27,-9,-2.250000,-4.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 17,0 9 17 26,-8,-2.000000,-4.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 16,0 9 16 25,-7,-1.750000,-3.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 15,0 9 15 24,-6,-1.500000,-3.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 9,0 14,0 9 14 23,-5,-1.250000,-2.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 9,0 13,0 9 13 22,-4,-1.000000,-2.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 9,0 12,0 9 12 21,-3,-0.750000,-1.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 9,0 6,0 6 9 15,3,0.750000,1.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 9,0 5,0 5 9 14,4,1.000000,2.000000,2,4,2,0,0,solver
3,2,2,4,2,2,0 9,0 4,0 4 9 13,5,1.250000,2.500000,2,5,2,0,0,solver
3,2,2,4,2,2,0 9,0 3,0 3 9 12,6,1.500000,3.000000,3,6,2,0,0,solver
3,2,2,4,2,2,0 8,0 23,0 8 23 31,-13,-3.250000,-6.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 22,0 8 22 30,-12,-3.000000,-6.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 21,0 8 21 29,-11,-2.750000,-5.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 20,0 8 20 28,-10,-2.500000,-5.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 19,0 8 19 27,-9,-2.250000,-4.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 18,0 8 18 26,-8,-2.000000,-4.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 17,0 8 17 25,-7,-1.750000,-3.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 16,0 8 16 24,-6,-1.500000,-3.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 15,0 8 15 23,-5,-1.250000,-2.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 14,0 8 14 22,-4,-1.000000,-2.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 8,0 13,0 8 13 21,-3,-0.750000,-1.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 8,0 12,0 8 12 20,-2,-0.500000,-1.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 8,0 11,0 8 11 19,-1,-0.250000,-0.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 8,0 5,0 5 8 13,5,1.250000,2.500000,3,5,2,0,0,solver
3,2,2,4,2,2,0 8,0 4,0 4 8 12,6,1.500000,3.000000,2,6,2,0,0,solver
3,2,2,4,2,2,0 8,0 3,0 3 8 11,7,1.750000,3.500000,3,7,2,0,0,solver
3,2,2,4,2,2,0 7,0 23,0 7 23 30,-12,-3.000000,-6.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 22,0 7 22 29,-11,-2.750000,-5.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 21,0 7 21 28,-10,-2.500000,-5.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 20,0 7 20 27,-9,-2.250000,-4.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 19,0 7 19 26,-8,-2.000000,-4.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 18,0 7 18 25,-7,-1.750000,-3.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 17,0 7 17 24,-6,-1.500000,-3.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 16,0 7 16 23,-5,-1.250000,-2.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 15,0 7 15 22,-4,-1.000000,-2.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 14,0 7 14 21,-3,-0.750000,-1.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 13,0 7 13 20,-2,-0.500000,-1.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 7,0 12,0 7 12 19,-1,-0.250000,-0.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 7,0 11,0 7 11 18,0,0.000000,0.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 7,0 10,0 7 10 17,1,0.250000,0.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 7,0 4,0 4 7 11,7,1.750000,3.500000,3,7,2,0,0,solver
3,2,2,4,2,2,0 7,0 3,0 3 7 10,8,2.000000,4.000000,3,8,2,0,0,solver
3,2,2,4,2,2,0 6,0 23,0 6 23 29,-11,-2.750000,-5.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 22,0 6 22 28,-10,-2.500000,-5.000000,0,0,1,0,0,solver
